City,State,avg_monthly_rent,pct_chg_val,med_home_val,best_time_sell,affordability,days_to_sell,job_market,public_school_ranking,top_ibs,ntop_ibs,nlocal_ibs
Orlando,FL,1327,4.60,241500,December,124.1,73,Strong,26,"Zillow Offers, Opendoor, Offerpad",3,2
Reno,NV,1277,3.00,371900,August,101.6,58.79,Strong,43,,0,3
Raleigh,NC,1165,6.20,277400,June,162.4,51.75,Strong,31,"Zillow Offers, Opendoor, Offerpad",3,2
Rancho Santa Margarita,CA,2024,1.00,655827,June,87,57.75,Weak,38,,0,2
Oxnard,CA,1972,3.40,517353,June,Low,67.13,Weak,38,,0,3
Parker,CO,1600,1.70,511370,June,137,57,Fair,17,,0,3
Pompano Beach,FL,1535,2.9,235574,July,Fair,82,Fair,54,,0,3
Rochester,NY,1058,4.30,157364,August,High,69.54,Weak,24,,0,3
Pueblo,CO,1277,8.50,190179,May,68,61.333,Fair,17,,0,2
Pembroke Pines,FL,1733,2.8,326015,July,High,83,Fair,54,,0,3
Providence,RI,1873,8.5,247135,August,High,61,Weak,52,,0,3
Scottsdale,AZ,1479,3.60,478300,November,141.2,77.208,Strong,41,Offerpad,1,3
Port Orange,FL,1239,5.30,239372,October,129,76.71,Fair,26,,0,3
Palm Bay,FL,1023,3.70,190099,December,151,70.92,Fair,26,,0,2
San Diego,CA,2137,1.80,634100,June,71.6,58.833,Fair,38,"Zillow Offers, Offerpad",2,2
Philadelphia,PA,1628,4.40,159400,June,206.4,85.21,Weak,27,,0,1
San Jose,CA,2762,-9.70,991000,June,51.1,42.42,Fair,38,,0,2
San Antonio,TX,1039,5.70,177400,August,154.9,65.333,Fair,33,"Zillow Offers, Opendoor, Offerpad",3,2
San Clemente,CA,2177,2.10,975530,May,62,72.58,Fair,38,,0,3
St Cloud,FL,1396,4.80,253959,December,155,79,Strong,26,,0,3
Overland Park,KS,1099,1.5,321556,June,Fair,47,Fair,52,,0,3
Sacramento,CA,1368,3.10,326400,November,116.2,53.25,Weak,38,"Zillow Offers, Opendoor, Offerpad",3,3
Salem,OR,1036,2.9,295188,October,High,65,Fair,43,,0,3
Riverside,CA,1548,3.40,409800,July,102.4,64.375,Fair,38,"Zillow Offers, Opendoor, Offerpad",3,2
Plano,TX,1355,-0.6,345430,June,High,46,Strong,51,,0,3
Santa Barbara,CA,2116,-1.00,1149000,March,63.4,70.444,Weak,38,Offerpad,1,2
Portland,OR,1457,-1.90,417600,June,114,61.958,Fair,44,"Zillow Offers, Opendoor",2,3
Savannah,GA,1014,5.20,134000,June,148.3,80.67,Strong,35,,0,2
Richmond,VA,1078,4.20,217500,July,169.2,63.25,Fair,4,"Zillow Offers, Opendoor, Offerpad",3,1
Pensacola,FL,1014,10,148900,November,159,76.92,Fair,26,,0,2
Salt Lake City,UT,1166,7.50,393900,March,129.3,47.583,Strong,23,"Opendoor, Offerpad",2,2
Mount Dora,FL,1047,3.50,245679,December,109,85.92,Strong,26,,0,2
Round Rock,TX,1159,3.60,277700,June,152.6,61.292,Strong,33,Offerpad,1,2
Port St Lucie,FL,1466,5.60,226200,March,137.7,86.75,Fair,26,Offerpad,1,2
Port Saint Lucie,FL,1466,5.60,226200,March,137.7,86.75,Fair,26,Offerpad,1,2
Springfield,MA,890,7.7,173725,July,High,38,Fair,25,,0,3
Roseville,CA,1755,3.80,480347,June,116.2,50.833,Fair,38,,0,3
Spartanburg,SC,935,7.2,135936,July,High,70,Fair,39,,0,3
St. Cloud,FL,1396,4.80,253959,December,155,79,Strong,26,,0,3
Pittsburgh,PA,1237,5.10,164317,December,High,78.58,Weak,27,,0,3
Saratoga,CA,3074,-5.20,2601536,February,146,59.00,Fair,38,,0,3
Santa Clara,CA,2970,-13.50,1233600,August,51.1,40.83,Fair,38,,0,2
Port St. Lucie,FL,1466,5.60,226200,March,137.7,86.75,Fair,26,Offerpad,1,2
Santa Ana,CA,1920,2.60,549200,August,60.7,62.917,Weak,38,Offerpad,1,2
Salinas,CA,1709,3.00,512572,April,Low,63.17,Fair,31,,0,3
San Francisco,CA,3703,0.10,1355200,May,64.1,41.21,Fair,38,,0,2
Sarasota,FL,1427,1.70,261200,December,129.4,95.96,Fair,26,Offerpad,1,2
