".Lake County, Colorado","4,381","4,496"
".La Plata County, Colorado","27,437","28,581"
".Larimer County, Colorado","144,722","154,429"
".Las Animas County, Colorado","8,555","8,626"
".Lincoln County, Colorado","2,471","2,511"
".Logan County, Colorado","9,095","9,148"
".Mesa County, Colorado","65,797","68,124"
".Mineral County, Colorado","1,253","1,304"
".Moffat County, Colorado","6,285","6,342"
".Montezuma County, Colorado","12,295","12,422"
".Montrose County, Colorado","18,828","19,599"
".Morgan County, Colorado","11,715","11,989"
".Otero County, Colorado","8,990","9,003"
".Ouray County, Colorado","3,236","3,392"
".Park County, Colorado","14,407","14,865"
".Phillips County, Colorado","2,130","2,161"
".Pitkin County, Colorado","14,008","14,232"
".Prowers County, Colorado","5,983","5,992"
".Pueblo County, Colorado","70,950","71,906"
".Rio Blanco County, Colorado","3,377","3,421"
".Rio Grande County, Colorado","6,778","6,851"
".Routt County, Colorado","16,672","17,114"
".Saguache County, Colorado","4,063","4,329"
".San Juan County, Colorado",772,793
".San Miguel County, Colorado","6,827","6,989"
".Sedgwick County, Colorado","1,424","1,432"
".Summit County, Colorado","30,804","32,085"
".Teller County, Colorado","13,117","13,511"
".Washington County, Colorado","2,452","2,476"
".Weld County, Colorado","105,827","115,897"
".Yuma County, Colorado","4,545","4,565"
".Fairfield County, Connecticut","371,254","375,360"
".Hartford County, Connecticut","378,456","381,401"
".Litchfield County, Connecticut","88,140","88,428"
".Middlesex County, Connecticut","76,143","76,649"
".New Haven County, Connecticut","366,419","368,670"
".New London County, Connecticut","123,113","124,233"
".Tolland County, Connecticut","59,393","60,285"
".Windham County, Connecticut","49,610","49,966"
".Kent County, Delaware","70,403","74,462"
".New Castle County, Delaware","222,096","225,245"
".Sussex County, Delaware","135,168","144,074"
".District of Columbia, District of Columbia","311,257","322,793"
".Alachua County, Florida","116,020","120,226"
".Baker County, Florida","9,869","10,215"
".Bay County, Florida","102,045","104,768"
".Bradford County, Florida","11,025","11,054"
".Brevard County, Florida","275,508","282,833"
".Broward County, Florida","821,064","828,521"
".Calhoun County, Florida","6,028","5,962"
".Charlotte County, Florida","103,425","107,124"
".Citrus County, Florida","79,038","80,895"
".Clay County, Florida","79,642","82,617"
".Collier County, Florida","210,731","222,284"
".Columbia County, Florida","28,890","29,300"
".DeSoto County, Florida","15,132","15,351"
".Dixie County, Florida","9,414","9,536"
".Duval County, Florida","402,377","418,708"
".Escambia County, Florida","140,452","143,228"
".Flagler County, Florida","50,755","53,833"
".Franklin County, Florida","8,660","8,840"
".Gadsden County, Florida","19,692","21,728"
".Gilchrist County, Florida","7,481","7,675"
".Glades County, Florida","7,008","7,133"
".Gulf County, Florida","9,436","9,736"
".Hamilton County, Florida","5,828","5,845"
".Hardee County, Florida","9,742","9,816"
".Hendry County, Florida","14,732","14,977"
".Hernando County, Florida","85,993","88,708"
".Highlands County, Florida","55,609","56,107"
".Hillsborough County, Florida","570,405","599,456"
".Holmes County, Florida","8,697","8,725"
".Indian River County, Florida","79,052","82,252"
".Jackson County, Florida","21,081","21,083"
".Jefferson County, Florida","6,717","6,856"
".Lafayette County, Florida","3,376","3,411"
".Lake County, Florida","153,274","163,586"
".Lee County, Florida","387,874","408,561"
".Leon County, Florida","128,461","132,789"
".Levy County, Florida","20,391","20,942"
".Liberty County, Florida","3,407","3,459"
".Madison County, Florida","8,605","8,710"
".Manatee County, Florida","186,969","198,819"
".Marion County, Florida","166,956","173,190"
".Martin County, Florida","79,837","80,784"
".Miami-Dade County, Florida","1,017,228","1,040,666"
".Monroe County, Florida","53,473","53,892"
".Nassau County, Florida","37,911","41,234"
".Okaloosa County, Florida","96,190","98,619"
".Okeechobee County, Florida","18,638","18,788"
".Orange County, Florida","525,517","556,896"
".Osceola County, Florida","144,507","162,661"
".Palm Beach County, Florida","682,808","693,140"
".Pasco County, Florida","239,521","250,658"
".Pinellas County, Florida","508,094","511,756"
".Polk County, Florida","290,728","304,429"
".Putnam County, Florida","37,320","37,611"
".St. Johns County, Florida","102,829","116,385"
".St. Lucie County, Florida","139,664","146,068"
".Santa Rosa County, Florida","70,208","74,433"
".Sarasota County, Florida","236,546","249,415"
".Seminole County, Florida","187,590","193,936"
".Sumter County, Florida","69,346","74,242"
".Suwannee County, Florida","19,305","19,551"
".Taylor County, Florida","11,071","11,174"
".Union County, Florida","4,585","4,683"
".Volusia County, Florida","258,987","264,113"
".Wakulla County, Florida","13,269","13,897"
".Walton County, Florida","50,472","54,801"
".Washington County, Florida","10,874","10,991"
".Appling County, Georgia","8,551","8,613"
".Atkinson County, Georgia","3,510","3,517"
".Bacon County, Georgia","4,800","4,821"
".Baker County, Georgia","1,655","1,664"
".Baldwin County, Georgia","20,528","20,725"
".Banks County, Georgia","7,676","7,838"
".Barrow County, Georgia","27,826","29,782"
".Bartow County, Georgia","40,507","42,298"
".Ben Hill County, Georgia","7,966","8,066"
".Berrien County, Georgia","8,769","8,848"
".Bibb County, Georgia","70,205","70,019"
".Bleckley County, Georgia","5,320","5,324"
".Brantley County, Georgia","8,151","8,224"
".Brooks County, Georgia","7,768","7,849"
".Bryan County, Georgia","13,782","15,272"
".Bulloch County, Georgia","30,749","31,851"
".Burke County, Georgia","10,010","10,161"
".Butts County, Georgia","9,369","9,515"
".Calhoun County, Georgia","2,400","2,406"
".Camden County, Georgia","21,748","22,606"
".Candler County, Georgia","4,767","4,797"
".Carroll County, Georgia","45,136","46,013"
".Catoosa County, Georgia","27,216","27,735"
".Charlton County, Georgia","4,492","4,564"
".Chatham County, Georgia","124,363","127,433"
".Chattahoochee County, Georgia","3,347","3,335"
".Chattooga County, Georgia","10,960","11,051"
".Cherokee County, Georgia","89,615","97,492"
".Clarke County, Georgia","52,819","53,633"
".Clay County, Georgia","2,122","2,130"
".Clayton County, Georgia","105,181","106,360"
".Clinch County, Georgia","3,001","3,018"
".Cobb County, Georgia","296,948","304,819"
".Coffee County, Georgia","17,190","17,422"
".Colquitt County, Georgia","18,585","18,753"
".Columbia County, Georgia","56,159","59,836"
".Cook County, Georgia","7,396","7,487"
".Coweta County, Georgia","53,700","56,539"
".Crawford County, Georgia","5,348","5,409"
".Crisp County, Georgia","10,790","10,811"
".Dade County, Georgia","7,281","7,329"
".Dawson County, Georgia","11,006","12,208"
".Decatur County, Georgia","12,209","12,245"
".DeKalb County, Georgia","309,124","317,646"
".Dodge County, Georgia","9,826","9,849"
".Dooly County, Georgia","6,255","6,238"
".Dougherty County, Georgia","40,681","40,507"
".Douglas County, Georgia","52,312","53,384"
".Early County, Georgia","4,972","4,981"
".Echols County, Georgia","1,579","1,604"
".Effingham County, Georgia","22,244","23,996"
".Elbert County, Georgia","9,598","9,672"
".Emanuel County, Georgia","9,936","9,937"
".Evans County, Georgia","4,729","4,772"
".Fannin County, Georgia","16,982","17,744"
".Fayette County, Georgia","42,098","43,488"
".Floyd County, Georgia","40,449","40,774"
".Forsyth County, Georgia","77,718","87,537"
".Franklin County, Georgia","10,618","10,778"
".Fulton County, Georgia","462,924","488,670"
".Gilmer County, Georgia","16,966","17,440"
".Glascock County, Georgia","1,529","1,541"
".Glynn County, Georgia","42,622","44,004"
".Gordon County, Georgia","22,446","22,886"
".Grady County, Georgia","10,836","10,947"
".Greene County, Georgia","9,466","10,468"
".Gwinnett County, Georgia","305,432","316,334"
".Habersham County, Georgia","18,292","18,750"
".Hall County, Georgia","71,501","76,167"
".Hancock County, Georgia","5,378","5,436"
".Haralson County, Georgia","12,374","12,605"
".Harris County, Georgia","13,979","14,529"
".Hart County, Georgia","13,090","13,331"
".Heard County, Georgia","5,189","5,253"
".Henry County, Georgia","79,874","84,536"
".Houston County, Georgia","62,123","65,050"
".Irwin County, Georgia","4,054","4,104"
".Jackson County, Georgia","24,622","26,778"
".Jasper County, Georgia","6,386","6,578"
".Jeff Davis County, Georgia","6,507","6,543"
".Jefferson County, Georgia","7,284","7,283"
".Jenkins County, Georgia","4,222","4,251"
".Johnson County, Georgia","4,111","4,122"
".Jones County, Georgia","11,812","11,954"
".Lamar County, Georgia","7,555","7,665"
".Lanier County, Georgia","4,405","4,458"
".Laurens County, Georgia","21,502","21,633"
".Lee County, Georgia","11,007","11,543"
".Liberty County, Georgia","27,924","28,762"
".Lincoln County, Georgia","4,872","4,923"
".Long County, Georgia","6,732","7,161"
".Lowndes County, Georgia","46,652","49,490"
".Lumpkin County, Georgia","13,464","13,863"
".McDuffie County, Georgia","9,326","9,378"
".McIntosh County, Georgia","9,504","9,674"
".Macon County, Georgia","6,104","6,106"
".Madison County, Georgia","12,015","12,031"
".Marion County, Georgia","4,191","4,239"
".Meriwether County, Georgia","9,967","10,061"
".Miller County, Georgia","2,765","2,748"
".Mitchell County, Georgia","9,073","9,087"
".Monroe County, Georgia","11,009","11,350"
".Montgomery County, Georgia","3,962","4,001"
".Morgan County, Georgia","7,631","7,972"
".Murray County, Georgia","16,050","16,261"
".Muscogee County, Georgia","84,520","85,235"
".Newton County, Georgia","38,834","40,262"
".Oconee County, Georgia","13,848","14,949"
".Oglethorpe County, Georgia","6,619","6,754"
".Paulding County, Georgia","55,099","59,634"
".Peach County, Georgia","11,596","11,747"
".Pickens County, Georgia","13,865","14,209"
".Pierce County, Georgia","8,133","8,269"
".Pike County, Georgia","6,905","7,172"
".Polk County, Georgia","16,959","17,132"
".Pulaski County, Georgia","5,171","5,177"
".Putnam County, Georgia","13,051","13,380"
".Quitman County, Georgia","2,057","2,079"
".Rabun County, Georgia","12,584","12,722"
".Randolph County, Georgia","4,110","4,099"
".Richmond County, Georgia","88,245","89,459"
".Rockdale County, Georgia","33,458","34,080"
".Schley County, Georgia","2,204","2,230"
".Screven County, Georgia","6,746","6,821"
".Seminole County, Georgia","4,834","4,813"
".Spalding County, Georgia","27,244","27,795"
".Stephens County, Georgia","12,615","12,615"
".Stewart County, Georgia","2,348","2,341"
".Sumter County, Georgia","13,891","13,879"
".Talbot County, Georgia","3,422","3,443"
".Taliaferro County, Georgia","1,018","1,026"
".Tattnall County, Georgia","10,005","10,082"
".Taylor County, Georgia","4,595","4,627"
".Telfair County, Georgia","7,251","7,312"
".Terrell County, Georgia","4,170","4,165"
".Thomas County, Georgia","20,550","20,896"
".Tift County, Georgia","16,633","16,966"
".Toombs County, Georgia","12,184","12,249"
".Towns County, Georgia","8,137","8,363"
".Treutlen County, Georgia","3,022","3,037"
".Troup County, Georgia","28,422","28,732"
".Turner County, Georgia","3,954","3,942"
".Twiggs County, Georgia","4,243","4,278"
".Union County, Georgia","14,503","14,995"
".Upson County, Georgia","12,145","12,140"
".Walker County, Georgia","30,259","30,531"
".Walton County, Georgia","33,288","34,799"
".Ware County, Georgia","16,611","16,903"
".Warren County, Georgia","2,977","2,987"
".Washington County, Georgia","9,246","9,490"
".Wayne County, Georgia","12,252","12,364"
".Webster County, Georgia","1,530","1,544"
".Wheeler County, Georgia","2,625","2,635"
".White County, Georgia","16,180","16,409"
".Whitfield County, Georgia","39,890","40,371"
".Wilcox County, Georgia","3,519","3,533"
".Wilkes County, Georgia","5,167","5,156"
".Wilkinson County, Georgia","4,480","4,502"
".Worth County, Georgia","9,316","9,370"
".Hawaii County, Hawaii","87,152","89,346"
".Honolulu County, Hawaii","349,261","354,677"
".Kalawao County, Hawaii",113,112
".Kauai County, Hawaii","30,794","31,577"
".Maui County, Hawaii","72,437","74,561"
".Ada County, Idaho","176,053","192,630"
".Adams County, Idaho","2,674","2,705"
".Bannock County, Idaho","34,041","34,852"
".Bear Lake County, Idaho","4,077","4,204"
".Benewah County, Idaho","4,713","4,790"
".Bingham County, Idaho","16,613","17,003"
".Blaine County, Idaho","15,353","15,600"
".Boise County, Idaho","5,476","5,697"
".Bonner County, Idaho","24,985","25,360"
".Bonneville County, Idaho","42,111","44,564"
".Boundary County, Idaho","5,410","5,591"
".Butte County, Idaho","1,374","1,381"
".Camas County, Idaho",850,875
".Canyon County, Idaho","74,211","80,055"
".Caribou County, Idaho","3,274","3,333"
".Cassia County, Idaho","8,684","8,925"
".Clark County, Idaho",554,562
".Clearwater County, Idaho","4,589","4,668"
".Custer County, Idaho","3,133","3,161"
".Elmore County, Idaho","12,441","12,577"
".Franklin County, Idaho","4,770","4,946"
".Fremont County, Idaho","8,873","9,186"
".Gem County, Idaho","7,254","7,507"
".Gooding County, Idaho","6,189","6,290"
".Idaho County, Idaho","8,767","8,783"
".Jefferson County, Idaho","9,200","9,768"
".Jerome County, Idaho","8,447","8,664"
".Kootenai County, Idaho","69,079","74,624"
".Latah County, Idaho","16,742","17,364"
".Lemhi County, Idaho","4,840","4,948"
".Lewis County, Idaho","1,914","1,991"
".Lincoln County, Idaho","2,001","2,017"
".Madison County, Idaho","13,690","15,366"
".Minidoka County, Idaho","7,958","8,504"
".Nez Perce County, Idaho","17,753","18,004"
".Oneida County, Idaho","1,987","2,019"
".Owyhee County, Idaho","4,884","4,994"
".Payette County, Idaho","9,339","9,620"
".Power County, Idaho","2,997","3,043"
".Shoshone County, Idaho","7,119","7,164"
".Teton County, Idaho","5,673","6,172"
".Twin Falls County, Idaho","32,825","34,199"
".Valley County, Idaho","12,191","12,710"
".Washington County, Idaho","4,631","4,689"
".Adams County, Illinois","30,177","30,244"
".Alexander County, Illinois","3,974","3,962"
".Bond County, Illinois","7,263","7,278"
".Boone County, Illinois","20,048","20,093"
".Brown County, Illinois","2,457","2,454"
".Bureau County, Illinois","15,696","15,664"
".Calhoun County, Illinois","2,876","2,901"
".Carroll County, Illinois","8,464","8,474"
".Cass County, Illinois","5,823","5,824"
".Champaign County, Illinois","91,858","94,690"
".Christian County, Illinois","15,608","15,600"
".Clark County, Illinois","7,800","7,826"
".Clay County, Illinois","6,433","6,459"
".Clinton County, Illinois","15,797","16,003"
".Coles County, Illinois","23,511","23,459"
".Cook County, Illinois","2,186,328","2,204,019"
".Crawford County, Illinois","8,707","8,695"
".Cumberland County, Illinois","4,873","4,868"
".DeKalb County, Illinois","41,167","41,308"
".De Witt County, Illinois","7,573","7,582"
".Douglas County, Illinois","8,437","8,475"
".DuPage County, Illinois","359,328","362,182"
".Edgar County, Illinois","8,848","8,818"
".Edwards County, Illinois","3,192","3,193"
".Effingham County, Illinois","14,851","14,959"
".Fayette County, Illinois","9,309","9,305"
".Ford County, Illinois","6,344","6,353"
".Franklin County, Illinois","18,655","18,636"
".Fulton County, Illinois","16,302","16,368"
".Gallatin County, Illinois","2,744","2,743"
".Greene County, Illinois","6,430","6,425"
".Grundy County, Illinois","20,741","21,330"
".Hamilton County, Illinois","4,103","4,102"
".Hancock County, Illinois","9,249","9,232"
".Hardin County, Illinois","2,486","2,484"
